"Index","URL","Name","Description","Image","LatestPostCreator","LatestPostDate","LatestPostContent"
"1","https://www.gab.com/groups/1","Nocoiners","Just wanted to trigger a few.","https://gab.com/media/user/group-5b74b94ae8573.jpeg","Katy L. Stamper","Nov 17, 2019","Dear Admin of Group One:Since you're not posting here, how about giving it to me??Thank you,Katy Stamper!"
"2","https://www.gab.com/groups/2","Introduce Yourself","Welcome to Gab! Use this group to introduce yourself and meet others in the #GabFam","https://gab.com/media/user/group-5aea00e976d75.png","","",""
"3","https://www.gab.com/groups/3","Test","","https://gab.com/system/groups/cover_images/000/000/003/original/","","",""
"4","https://www.gab.com/groups/4","Gab for Android","Everything regarding Gab for Android!","https://gab.com/system/groups/cover_images/000/000/004/original/","","",""
"5","https://www.gab.com/groups/5","Art","A place for artists and those who love art.","https://gab.com/media/user/group-5aea24874d522.jpeg","","",""
"6","https://www.gab.com/groups/6","kek.gg","kek.gg enthusiasts","https://gab.com/media/user/group-5aea41bb9c6b7.jpeg","Red Pill Nation","4d","Red Pill Nation Hangout #82https://www.youtube.com/watch?v=RMLXOQ7QM7Y&tTonights Topics1. PAX Deplatforms Chris Raygun and Colin Moriarty2. Don't Make Fun of Criminals Hairline3. Neal DeGrasse Tyson Clearedhttps://www.patreon.com/RedPillNationhttps://www.subscribestar.com/neroke5"
"7","https://www.gab.com/groups/7","Beekeeping","A group for beekeepers.","https://gab.com/media/user/group-5aeb6c1a72b59.jpeg","Rightof Genghiskhan","Feb 7","How To Tap A Maple Tree For Syrup   https://outheremagazine.com/february-2020/how-to-tap-a-maple-tree/?Loyalty_ID=%%Loyalty_ID%%%26ONLINE_PROMO_CODE=%%Coupon1_Promo_Code%%&cm_mmc=Email-_-Ecom-_-2-20_2020_02_06_NC_Outhere-_-banner%204&cm_lm=494e464f405745535045414b414e54495155452e434f4d  ..FOLLOW,  RE POST, RE TWEET .IMMIGRATION REFORM NEWS on GAB   https://gab.com/groups/2167 .COLD BLOODED CREATURES on GAB  https://gab.com/groups/2280   .ANTIQUES & ANCESTORS on GAB    https://gab.com/groups/2500  Immigration Reform News On Gab"
"8","https://www.gab.com/groups/8","Gab Help","Have a question or need help with Gab? This is the group for you.","https://gab.com/system/groups/cover_images/000/000/008/original/","","",""
"9","https://www.gab.com/groups/9","a","a","https://gab.com/system/groups/cover_images/000/000/009/original/","","",""
10,"https://www.gab.com/groups/10","Formula 1","F1 Discussion","https://gab.com/system/groups/cover_images/000/000/010/original/","","",""